Country_Name,Country_Code,pop_1990,emissions_90,pop_1991,emissions_91,pop_1992,emissions_92,pop_1993,emissions_93,pop_1994,emissions_94,pop_1995,emissions_95,pop_1996,emissions_96,pop_1997,emissions_97,pop_1998,emissions_98,pop_1999,emissions_99,pop_2000,emissions_00,pop_2001,emissions_01,pop_2002,emissions_02,pop_2003,emissions_03,pop_2004,emissions_04,pop_2005,emissions_05,pop_2006,emissions_06,pop_2007,emissions_07,pop_2008,emissions_08,pop_2009,emissions_09,pop_2010,emissions_10,pop_2011,emissions_11,pop_2012,emissions_12
Belgium,BEL,9967379,12445,10004486,12512,10045158,12297.8,10084475,12053.3,10115603,12007,10136811,12157.7,10156637,11715.8,10181245,11367.9,10203008,11113.1,10226419,11322.7,10251250,11079,10286570,10709.9,10332785,10250.1,10376133,9916.4,10421137,9906.04,10478617,9623.69,10547958,9584.15,10625700,9547.3,10709973,9537.89,10796493,9586.1,10895586,9632.35,11047744,9414.724963,11128246,9243.348927
Benin,BEN,4978496,5119.5,5149499,4131.13,5331803,4779.61,5521763,4489.97,5714220,4604.69,5905558,4947.61,6094259,4930.25,6281639,5039.62,6470265,4245.88,6664098,4658.25,6865951,4503.77,7076733,4433.23,7295394,4994.05,7520555,4124.69,7750004,4369.94,7982225,4377.31,8216896,4526.1,8454791,5598.09,8696916,7086.59,8944706,7181.71,9199259,6845.63,9460802,6914.0863,9729160,6982.5426
"Burkina Faso",BFA,8811034,7238.16,9050084,7141.1,9297113,7577.76,9552476,7730.34,9816588,8009.29,10089878,8432.06,10372745,8680.18,10665546,9006.01,10968724,9210.4,11282701,8627.91,11607942,9039.73,11944587,10043.7,12293100,10031.4,12654621,10453.4,13030569,11059.7,13421930,11746.2,13829177,12228.7,14252021,13396.2,14689726,13564,15141099,14147.2,15605217,14663.9,16081904,14810.539,16571216,14957.178
Bangladesh,BGD,106188642,87092.7,108727432,85947.7,111221938,86069.7,113695139,84822.6,116182267,84986,118706871,85432.8,121269645,86646.3,123854640,87234,126447965,85824.8,129029691,89556.1,131581243,89247.2,134107160,90645.8,136600667,92039.3,139019001,92994.3,141307489,91778.3,143431101,94197.9,145368004,95019.6,147139191,96499.6,148805814,97832.1,150454708,99687.7,152149102,103080,153911916,104110.8,155727053,105141.6
Bulgaria,BGR,8718289,15675.5,8632367,15096.2,8540164,14847.6,8472313,14039,8443591,13612.6,8406067,13564.6,8362826,13735.8,8312068,13552.9,8256786,13685.2,8210624,13626.7,8170172,13783.3,8009142,13442.5,7837161,13037.5,7775327,13144.4,7716860,13134.3,7658972,12778.3,7601022,12652.3,7545338,12461.8,7492561,12280.2,7444443,11969.9,7395599,12010.7,7348328,11881.80074,7305888,11793.66449
Bahrain,BHR,495931,1800.13,509765,1641.38,523087,1798.6,536213,1932.96,549588,1938.74,563699,1951.66,578668,2074.81,594930,2184.4,613702,2302.05,636545,2343.82,664614,2382.55,697549,2457.67,735148,2568.28,778711,2627.62,829848,2690.75,889168,2779.46,958414,2925.18,1035891,3058.41,1114590,3195.54,1185029,3239.22,1240862,3312.28,1278269,3345.4028,1300217,3378.5256
"Bahamas, The",BHS,256336,141.46,261116,145.567,266134,148.491,271165,151.936,275895,156.015,280150,160.252,283790,164.748,286970,166.832,290060,168.87,293572,171.277,297890,174.776,303135,179.165,309157,182.339,315746,186.35,322526,191.765,329249,196.505,335830,201,342328,206.223,348676,211.842,354856,216.937,360832,222.181,366568,224.40281,372039,226.62462
"Bosnia and Herzegovina",BIH,4463422,4589.45,4371603,4250.82,4239154,3714.74,4087999,3410.67,3948816,1748.27,3843712,1663.95,3780378,1445.33,3752431,1888.93,3750485,2193.35,3759118,2253.68,3766706,2671.65,3771284,2216.68,3775807,2286,3779247,2635.67,3781287,2580.15,3781530,2665.65,3779468,2801.77,3774000,2944.54,3763599,3037.43,3746561,3090.91,3722084,3078.6,3688865,3109.386,3648200,3140.172
Belarus,BLR,10189000,18649.3,10194000,18044.2,10216000,17377.9,10239000,16563.1,10227000,15777.4,10194000,14837.1,10160000,14268.2,10117000,13965.1,10069000,14006.7,10026738,13819.6,9979610,13322.3,9928549,13379.9,9865548,13442.4,9796749,13221.3,9730146,13458.6,9663915,14045.8,9604924,14442.3,9560953,14870.9,9527985,15344,9506765,15913.6,9490583,16437.5,9473172,16528.60066,9464495,16619.66131
Belize,BLZ,187552,169.855,191126,181.809,194317,182.77,197616,179.955,201674,181.384,206963,160.494,213676,167.411,221606,162.969,230284,158.402,239026,168.345,247315,166.999,254984,165.936,262206,173.831,269130,183.814,276089,178.063,283277,187.507,290747,189.883,298407,191.835,306165,193.103,313929,206.72,321608,224.011,329192,226.25111,336701,228.49122
Bermuda,BMU,59326,24.0812,59021,24.2707,58595,24.2345,58910,24.4629,59320,24.8384,59746,25.1052,60129,25.3665,60497,25.3834,60943,25.6326,61285,26.0423,61833,26.5171,62504,26.8384,62912,27.2319,63325,27.5822,63740,27.9943,64154,28.3213,64523,28.7162,64888,28.9614,65273,29.4193,65636,29.879,65124,30.3529,64564,30.656429,64798,30.959958
Bolivia,BOL,6856244,22435.9,6992521,21403.2,7131707,23062.2,7273825,25269.1,7418861,19438.4,7566714,20551.2,7717443,21495.6,7870855,22156.9,8026254,19195,8182712,37456.8,8339512,19765.7,8496375,19566.8,8653345,23336.2,8810420,19758.9,8967741,55862.7,9125409,29842.8,9283334,19181,9441444,19943.6,9599855,21016.2,9758748,21009,9918242,22775.9,10078343,23003.659,10239004,23231.418
Brazil,BRA,149352145,319678,151976577,324383,154564278,340142,157132682,356615,159705123,334732,162296612,355036,164913306,350573,167545164,354875,170170640,376882,172759243,361634,175287587,343027,177750670,367626,180151021,388268,182482149,419110,184738458,459552,186917361,492336,189012412,407314,191026637,412677,192979029,421460,194895996,421609,196796269,443289,198686688,469456.4973,200560983,477076.7946
