Country_Name,Country_Code,pop_1990,emissions_90,pop_1991,emissions_91,pop_1992,emissions_92,pop_1993,emissions_93,pop_1994,emissions_94,pop_1995,emissions_95,pop_1996,emissions_96,pop_1997,emissions_97,pop_1998,emissions_98,pop_1999,emissions_99,pop_2000,emissions_00,pop_2001,emissions_01,pop_2002,emissions_02,pop_2003,emissions_03,pop_2004,emissions_04,pop_2005,emissions_05,pop_2006,emissions_06,pop_2007,emissions_07,pop_2008,emissions_08,pop_2009,emissions_09,pop_2010,emissions_10,pop_2011,emissions_11,pop_2012,emissions_12
"Saudi Arabia",SAU,16326815,30762700,16867829,35754100,17378833,37189800,17859750,37642900,18311090,39424100,18735841,39412300,19131578,40566200,19505576,41396900,19882458,42166600,20294406,40104800,20764312,43294000,21303592,43061300,21906308,44919700,22556425,48996900,23228890,50607500,23905654,53574100,24578301,54734300,25252569,54662000,25940770,57885500,26661492,57241900,27425676,60310100,28238020,61606777.370000005,29086357,62903444.730000004
Sudan,SDN,20147590,47141300,20893625,42507600,21701476,48878100,22535937,49619300,23347885,52144700,24102986,55134100,24786190,56007400,25410451,57945500,26003542,58688800,26607042,63112300,27250535,64406400,27945005,65621600.00000001,28679565,67796900,29435944,66998000,30186341,67288700,30911914,70660800,31607064,85745400,32282526,125045000,32955496,100992000,33650619,101835000,34385963,94638700,35167314,95585087,35990192,96531474
Senegal,SEN,7555617,5627790,7789653,5486990,8029725,5765880,8272170,5838830,8512173,5988170,8746606,6184740,8974077,6338660,9196528,6496390,9418393,6647590,9645957,7151480,9884052,7077530,10134497,7207610,10396861,7151260,10670990,6990250,10955944,7396640,11251266,7661710,11556763,7723030,11873557,8466370,12203957,9131230,12550917,9296240,12916229,9732990,13300910,9830319.9,13703513,9927649.799999999
Singapore,SGP,3047132,980765,3135083,1105500,3230698,1238010,3313471,1363890,3419048,1484240,3524506,1550060,3670704,1596000,3796038,1602790,3927213,1572590,3958723,1586380,4027887,1684380,4138012,1869860,4175950,2154590,4114826,2170820,4166664,2215460,4265762,2274450,4401365,2285020,4588599,2317040,4839396,2337690,4987573,2307580,5076732,2339020,5183688,2362410.1999999997,5312437,2385800.4
"Solomon Islands",SLB,311840,2045790,320753,1563680,329953,1135520,339456,1243900,349225,1351730,359225,1406450,369469,1439780,379947,1462400,390643,1411260,401538,1362730,412609,1394020,423853,1438420,435262,1444600,446769,1450880,458324,1453310,469885,1443740,481422,1440340,492940,1434310,504477,1429700,516079,1427430,527790,1420740,539614,1434947.4,551531,1449154.8
"Sierra Leone",SLE,4312246,2909320,4337239,2614870,4331332,2733870,4307299,2710120,4283621,2602710,4274819,2663840,4282350,2679540,4305455,2823190,4353646,2816770,4437803,2495000,4564297,2356700,4739147,2790200,4957216,2598070,5199549,2677780,5439695,2746950,5658379,2472490,5848692,3505400,6015417,4838400,6165372,4635270,6310260,3938690,6458720,3286310,6611692,3319173.1,6766103,3352036.2
"El Salvador",SLV,5254984,2672940,5326657,2766200,5400331,2835070,5474000,2772610,5544945,2849810,5611115,2694970,5671925,2938700,5727755,2850640,5778706,2728940,5825187,2888290,5867626,2797480,5905962,3001940,5940303,3229050,5971535,3085220,6000775,3124670,6028961,3152020,6056478,3194830,6083475,3093800,6110301,3126750,6137276,2984230,6164626,2972670,6192560,3002396.6999999997,6221246,3032123.4
Somalia,SOM,7397347,13062400,7455936,12039300,7488544,11500400,7519811,12426500,7583954,13312000,7704894,13657400,7892389,13972400,8137475,14303600,8422372,14507100,8720231,14804300,9011479,14979300,9290823,15238900,9564167,15476200,9836397,15668400,10116228,15758800,10409925,15727500,10718317,15774800,11038596,15797400,11369276,15851400,11707990,15809300,12053223,15888100,12404725,16046981,12763776,16205862
"Sao Tome and Principe",STP,113893,28770.2,116294,29624.199999999997,118816,30440.4,121407,31011.399999999998,123973,32100,126454,32876,128821,33588.2,131107,34393.4,133418,35024.700000000004,135886,35809.600000000006,138606,36952.1,141622,37614.2,144889,38538.3,148372,39540.100000000006,151969,40361.5,155630,41202.3,159328,41924.9,163101,42744.5,166913,43566.1,170813,44473.799999999996,174776,45287.3,178800,45740.172999999995,182889,46193.046
Suriname,SUR,407472,986594,415216,1005580,422763,1105440,430039,1067740,437037,836553,443724,923120,450036,914578,455954,851938,461560,769644,467003,631204,472390,617973,477740,718647,483044,800922,488332,712254,493630,974092,498946,670266,504307,594373,509705,598859,515148,594389,520619,686870,526103,695478,531589,702432.78,537077,709387.56
"Slovak Republic",SVK,5299187,6451180,5303294,6091150,5305016,5547460,5325305,5014150,5346331,4545900,5361999,4445280,5373361,4547920,5383291,4585670,5390516,4327740,5396020,4291810,5388720,4433690,5378867,4624870,5376912,4547000,5373374,4377380,5372280,4172250,5372807,4063570,5373054,4088400,5374622,4061560,5379233,4014640,5386406,4057920,5391428,3984680,5398384,4066244.032,5407579,4074574.065
Slovenia,SVN,1998161,3033760,1999429,2912580,1996498,2747770,1991746,2719270,1989443,2588770,1989872,2655990,1988628,2665380,1985956,2800610,1981629,2747430,1983045,2713520,1988925,2871100,1992060,2907720,1994530,2995690,1995733,3000190,1997012,2973560,2000474,2980190,2006868,2972350,2018122,2969290,2021316,2912930,2039669,2889120,2048583,2901130,2052843,2855430.7789999996,2057159,2821744.557
Sweden,SWE,8558835,11521000,8617375,11220900,8668067,11307900,8718561,11421800,8780745,11538000,8826939,11586100,8840998,11574800,8846062,11544400,8850974,11582600,8857874,11358500,8872109,11467400,8895960,11460600,8924958,11193800,8958229,11329500,8993531,11548300,9029572,11509200,9080505,11622900,9148092,11532500,9219637,11394700,9298515,10479800,9378126,10817500,9449213,10392756.08,9519374,10304223.15
Eswatini,SWZ,861373,1134110,885623,1124900,906034,1211660,924025,1078770,941774,1131950,960792,1149720,981764,1186330,1003995,1229720,1026009,1151400,1045629,1144490,1061468,1193080,1072927,1112220,1080930,1120820,1087392,1112840,1095053,1201280,1105873,1195960,1120514,1237840,1138434,1271840,1158897,1292130,1180675,1296780,1202843,1350020,1225258,1363520.2,1248158,1377020.4000000001
